cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
120,Simulation 0,1000,832,124,42,2
120,Simulation 2,1000,773,99,118,10
120,Simulation 1,1000,780,126,91,3
121,Simulation 2,1000,771,100,119,10
121,Simulation 1,1000,777,127,93,3
121,Simulation 0,1000,828,125,45,2
121,Simulation 3,1000,782,124,85,9
122,Simulation 0,1000,823,129,46,2
122,Simulation 2,1000,766,103,121,10
122,Simulation 1,1000,777,127,93,3
122,Simulation 3,1000,782,121,88,9
123,Simulation 1,1000,777,127,93,3
123,Simulation 2,1000,764,105,121,10
123,Simulation 3,1000,779,121,91,9
123,Simulation 0,1000,819,132,47,2
124,Simulation 0,1000,814,136,48,2
124,Simulation 2,1000,761,104,124,11
124,Simulation 3,1000,779,119,93,9
124,Simulation 1,1000,776,126,95,3
125,Simulation 1,1000,774,126,97,3
125,Simulation 2,1000,758,105,126,11
125,Simulation 0,1000,814,135,49,2
125,Simulation 3,1000,779,118,94,9
126,Simulation 2,1000,755,106,127,12
126,Simulation 0,1000,815,132,51,2
126,Simulation 3,1000,777,116,98,9
126,Simulation 1,1000,773,125,99,3
127,Simulation 2,1000,751,108,129,12
127,Simulation 1,1000,772,123,102,3
127,Simulation 3,1000,776,116,99,9
127,Simulation 0,1000,814,132,52,2
128,Simulation 2,1000,751,105,132,12
128,Simulation 3,1000,773,118,99,10
128,Simulation 1,1000,773,120,104,3
128,Simulation 0,1000,811,134,53,2
129,Simulation 3,1000,770,120,100,10
129,Simulation 1,1000,773,118,106,3
129,Simulation 2,1000,750,105,133,12
129,Simulation 0,1000,808,136,54,2
130,Simulation 1,1000,771,119,107,3
130,Simulation 2,1000,749,102,136,13
130,Simulation 3,1000,771,119,100,10
130,Simulation 0,1000,805,138,55,2
131,Simulation 0,1000,803,137,58,2
131,Simulation 1,1000,769,118,110,3
131,Simulation 2,1000,748,102,137,13
131,Simulation 3,1000,771,117,102,10
132,Simulation 1,1000,767,118,112,3
132,Simulation 2,1000,745,105,137,13
132,Simulation 0,1000,800,137,61,2
132,Simulation 3,1000,772,116,102,10
133,Simulation 0,1000,800,137,61,2
133,Simulation 1,1000,766,119,112,3
133,Simulation 2,1000,744,103,140,13
133,Simulation 3,1000,773,114,103,10
134,Simulation 1,1000,764,119,114,3
134,Simulation 3,1000,772,114,104,10
134,Simulation 2,1000,743,102,142,13
134,Simulation 0,1000,797,139,62,2
135,Simulation 1,1000,764,115,118,3
135,Simulation 3,1000,771,115,104,10
135,Simulation 2,1000,739,106,142,13
135,Simulation 0,1000,798,136,64,2
136,Simulation 0,1000,796,134,68,2
136,Simulation 3,1000,770,116,104,10
136,Simulation 2,1000,737,107,143,13
136,Simulation 1,1000,763,112,122,3
137,Simulation 0,1000,792,136,70,2
137,Simulation 3,1000,767,117,106,10
137,Simulation 2,1000,737,106,144,13
137,Simulation 1,1000,762,113,122,3
138,Simulation 3,1000,766,116,108,10
138,Simulation 0,1000,790,131,75,4
138,Simulation 1,1000,763,111,123,3
138,Simulation 2,1000,735,103,149,13
139,Simulation 2,1000,734,102,151,13
139,Simulation 3,1000,766,113,111,10
139,Simulation 1,1000,763,110,124,3
139,Simulation 0,1000,790,129,77,4
140,Simulation 1,1000,761,109,127,3
140,Simulation 2,1000,733,102,152,13
140,Simulation 3,1000,767,110,113,10
140,Simulation 0,1000,789,128,79,4
141,Simulation 0,1000,789,127,80,4
141,Simulation 3,1000,767,108,115,10
141,Simulation 2,1000,731,103,153,13
141,Simulation 1,1000,761,107,129,3
142,Simulation 0,1000,787,127,82,4
142,Simulation 2,1000,730,103,154,13
142,Simulation 1,1000,759,108,130,3
142,Simulation 3,1000,767,107,116,10
143,Simulation 3,1000,766,108,116,10
143,Simulation 1,1000,760,106,131,3
143,Simulation 0,1000,786,126,84,4
143,Simulation 2,1000,729,102,156,13
144,Simulation 3,1000,765,109,116,10
144,Simulation 1,1000,760,106,131,3
144,Simulation 0,1000,783,127,86,4
144,Simulation 2,1000,726,104,157,13
145,Simulation 0,1000,783,124,89,4
145,Simulation 1,1000,758,108,131,3
145,Simulation 2,1000,726,103,158,13
145,Simulation 3,1000,764,107,119,10
146,Simulation 2,1000,725,103,159,13
146,Simulation 1,1000,756,108,133,3
146,Simulation 3,1000,763,106,121,10
146,Simulation 0,1000,783,123,90,4
147,Simulation 2,1000,720,107,160,13
147,Simulation 3,1000,764,103,123,10
147,Simulation 1,1000,757,108,132,3
147,Simulation 0,1000,783,119,94,4
148,Simulation 3,1000,765,100,124,11
148,Simulation 1,1000,755,107,135,3
148,Simulation 2,1000,718,107,162,13
148,Simulation 0,1000,784,117,94,5
149,Simulation 0,1000,782,116,97,5
149,Simulation 3,1000,763,102,124,11
149,Simulation 1,1000,753,109,135,3
149,Simulation 2,1000,719,105,163,13
150,Simulation 1,1000,750,111,136,3
150,Simulation 3,1000,762,100,127,11
150,Simulation 0,1000,779,115,100,6
150,Simulation 2,1000,717,104,166,13
151,Simulation 1,1000,749,111,136,4
151,Simulation 2,1000,716,103,168,13
151,Simulation 3,1000,756,104,129,11
151,Simulation 0,1000,779,112,103,6
152,Simulation 2,1000,715,102,170,13
152,Simulation 0,1000,780,108,106,6
152,Simulation 1,1000,748,108,140,4
152,Simulation 3,1000,754,104,131,11
153,Simulation 1,1000,748,107,141,4
153,Simulation 0,1000,780,106,108,6
153,Simulation 3,1000,754,104,131,11
153,Simulation 2,1000,714,102,170,14
154,Simulation 1,1000,748,106,142,4
154,Simulation 2,1000,714,100,172,14
154,Simulation 3,1000,752,102,135,11
154,Simulation 0,1000,780,104,110,6
155,Simulation 2,1000,715,98,173,14
155,Simulation 0,1000,778,105,111,6
155,Simulation 3,1000,750,103,136,11
155,Simulation 1,1000,749,104,143,4
156,Simulation 3,1000,749,101,139,11
156,Simulation 1,1000,749,101,145,5
156,Simulation 2,1000,710,103,173,14
156,Simulation 0,1000,779,102,113,6
157,Simulation 1,1000,747,101,146,6
157,Simulation 0,1000,778,100,116,6
157,Simulation 2,1000,707,104,175,14
157,Simulation 3,1000,749,100,139,12
158,Simulation 0,1000,776,103,115,6
158,Simulation 2,1000,707,104,175,14
158,Simulation 3,1000,747,100,141,12
158,Simulation 1,1000,746,99,149,6
159,Simulation 0,1000,770,108,116,6
159,Simulation 3,1000,746,99,143,12
159,Simulation 2,1000,707,104,175,14
159,Simulation 1,1000,746,98,150,6
160,Simulation 2,1000,704,104,178,14
160,Simulation 1,1000,739,102,153,6
160,Simulation 0,1000,769,106,118,7
160,Simulation 3,1000,744,96,146,14
161,Simulation 1,1000,736,103,155,6
161,Simulation 2,1000,701,107,178,14
161,Simulation 0,1000,767,107,119,7
161,Simulation 3,1000,743,95,148,14
162,Simulation 1,1000,735,99,160,6
162,Simulation 0,1000,768,106,119,7
162,Simulation 2,1000,700,108,178,14
162,Simulation 3,1000,743,93,150,14
163,Simulation 3,1000,743,92,151,14
163,Simulation 2,1000,700,106,179,15
163,Simulation 1,1000,732,100,162,6
163,Simulation 0,1000,766,105,122,7
164,Simulation 0,1000,766,103,124,7
164,Simulation 2,1000,696,109,180,15
164,Simulation 3,1000,742,88,155,15
164,Simulation 1,1000,730,99,165,6
165,Simulation 3,1000,739,89,157,15
